Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,283,P - Pounds,128.366536,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, LIQUID, NOS (MERCURY)",NA3082,"Hazardous waste, liquid, n.o.s.",,,,728,P - Pounds,330.214976,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3082,"Hazardous waste, liquid, n.o.s.",,,,1042,P - Pounds,472.642864,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN1760,"Corrosive liquids, n.o.s.",,,,4,P - Pounds,1.814368,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, LIQUID, NOS",UN2024,"Mercury compounds, liquid, n.o.s.",,,,49,P - Pounds,22.226008,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, LIQUID, NOS",UN2024,"Mercury compounds, liquid, n.o.s.",,,,29,P - Pounds,13.154168,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, LIQUID, NOS",UN2024,"Mercury compounds, liquid, n.o.s.",,,,43,P - Pounds,19.504456,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, LIQUID, NOS (THIMEROSAL)",UN2024,"Mercury compounds, liquid, n.o.s.",,,,27,P - Pounds,12.246984,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, SOLID, NOS (MERCURY)",UN2025,"Mercury compounds, solid, n.o.s.",,,,12,P - Pounds,5.443104,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, SOLID, NOS (MERCURY)",UN2025,"Mercury compounds, solid, n.o.s.",,,,3,P - Pounds,1.360776,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, SOLID, NOS (MERCURY)",UN2025,"Mercury compounds, solid, n.o.s.",,,,6,P - Pounds,2.721552,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, SOLID, NOS (MERCURY)",UN2025,"Mercury compounds, solid, n.o.s.",,,,5,P - Pounds,2.26796,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,34,P - Pounds,15.422128,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,43,P - Pounds,19.504456,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,8,P - Pounds,3.628736,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,234,P - Pounds,106.140528,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, LIQUID, NOS (MERCUROCHROME)",UN2809,Mercury,,,,5,P - Pounds,2.26796,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,11,P - Pounds,4.989512,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,554,P - Pounds,251.289968,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,3,P - Pounds,1.360776,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,9,P - Pounds,4.082328,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,51,P - Pounds,23.133192,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,6,P - Pounds,2.721552,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,63,P - Pounds,28.576296,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
