Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (ARGON, CARBON DIOXIDE)",UN1956,"Compressed gas, n.o.s.",,1,CY - Cylinders,4,K - Kilograms,4,kg,,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (NITROGEN, CARBON MONOXIDE, PENTANE)",UN1956,"Compressed gas, n.o.s.",,1,CY - Cylinders,1,K - Kilograms,1,kg,,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (SULPHUR DIOXIDE/NITROGEN)",UN1956,"Compressed gas, n.o.s.",,7,CY - Cylinders,7,K - Kilograms,7,kg,D001,H121,Neutralization only (no other treatment) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,WASTE SULFUR HEXAFLUORIDE,UN1980,,,3,CY - Cylinders,3,K - Kilograms,3,kg,,H121,Neutralization only (no other treatment) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE PYROPHORIC LIQUIDS, ORGANIC, NOS (TRIETHYLBORON)",UN2845,"Pyrophoric liquids, organic, n.o.s.",I,1,CY - Cylinders,1,K - Kilograms,1,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE ORGANOMETALLIC SUBSTANCE, LIQUID, PYROPHORIC, WATER REACTIVE (TRIETHYL ALUMINUM)",UN3394,"Organometallic substance, liquid, pyrophoric, water-reactive",I,5,CY - Cylinders,5,K - Kilograms,5,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE ORGANOMETALLIC SUBSTANCE, LIQUID, PYROPHORIC, WATER REACTIVE (DIISOBUTYLALUMINUM HYDRIDE)",UN3394,"Organometallic substance, liquid, pyrophoric, water-reactive",I,1,CY - Cylinders,1,K - Kilograms,1,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE ORGANOMETALLIC SUBSTANCE, LIQUID, PYROPHORIC, WATER REACTIVE TRIMETHYLALUMINUM)",UN3394,"Organometallic substance, liquid, pyrophoric, water-reactive",I,1,CY - Cylinders,2,K - Kilograms,2,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913179 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,HELIUM COMPRESSED,UN1046,"Helium, compressed",,8,CY - Cylinders,8,K - Kilograms,8,kg,,H139,,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE TRIMETHYLAMINE, ANHYDROUS",UN1083,"Trimethylamine, anhydrous",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H121,Neutralization only (no other treatment) ,PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
